audio_id,audio_path,label,attack
T_0000000000,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000000.flac,spoof,A05
T_0000000001,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000001.flac,spoof,A07
T_0000000002,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000002.flac,spoof,A04
T_0000000003,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000003.flac,spoof,A08
T_0000000004,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000004.flac,spoof,A05
T_0000000005,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000005.flac,spoof,A05
T_0000000006,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000006.flac,spoof,A02
T_0000000007,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000007.flac,spoof,A05
T_0000000008,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000008.flac,spoof,A08
T_0000000009,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000009.flac,spoof,A03
T_0000000010,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000010.flac,spoof,A06
T_0000000011,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000011.flac,bonafide,bonafide
T_0000000012,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000012.flac,spoof,A05
T_0000000013,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000013.flac,spoof,A08
T_0000000014,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000014.flac,spoof,A01
T_0000000015,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000015.flac,spoof,A03
T_0000000016,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000016.flac,spoof,A01
T_0000000017,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000017.flac,spoof,A04
T_0000000018,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000018.flac,spoof,A07
T_0000000019,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000019.flac,bonafide,bonafide
T_0000000020,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000020.flac,spoof,A02
T_0000000021,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000021.flac,bonafide,bonafide
T_0000000022,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000022.flac,spoof,A04
T_0000000023,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000023.flac,spoof,A01
T_0000000024,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000024.flac,spoof,A05
T_0000000025,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000025.flac,spoof,A02
T_0000000026,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000026.flac,spoof,A08
T_0000000027,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000027.flac,spoof,A06
T_0000000028,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000028.flac,bonafide,bonafide
T_0000000029,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000029.flac,spoof,A05
T_0000000030,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000030.flac,spoof,A02
T_0000000031,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000031.flac,spoof,A01
T_0000000032,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000032.flac,spoof,A04
T_0000000033,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000033.flac,spoof,A05
