audio_id,audio_path,label,attack
T_0000023557,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000023557.flac,bonafide,bonafide
T_0000026886,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000026886.flac,bonafide,bonafide
T_0000002227,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000002227.flac,bonafide,bonafide
T_0000003516,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000003516.flac,bonafide,bonafide
T_0000027675,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000027675.flac,spoof,A08
T_0000032857,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000032857.flac,spoof,A07
T_0000009342,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000009342.flac,spoof,A05
T_0000031521,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000031521.flac,bonafide,bonafide
T_0000017902,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000017902.flac,bonafide,bonafide
T_0000024780,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000024780.flac,bonafide,bonafide
T_0000011036,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000011036.flac,bonafide,bonafide
T_0000028488,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000028488.flac,bonafide,bonafide
T_0000015146,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000015146.flac,bonafide,bonafide
T_0000028152,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000028152.flac,spoof,A03
T_0000010081,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000010081.flac,spoof,A03
T_0000023335,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000023335.flac,spoof,A06
T_0000022525,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000022525.flac,bonafide,bonafide
T_0000019161,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000019161.flac,spoof,A07
T_0000002779,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000002779.flac,spoof,A08
T_0000035384,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000035384.flac,bonafide,bonafide
T_0000021251,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000021251.flac,bonafide,bonafide
T_0000001580,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000001580.flac,spoof,A03
T_0000014317,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000014317.flac,bonafide,bonafide
